"id","name","brand"
"25110001","GARAGE DROZ SARL","Total"
"42700001","GEANT CASINO","Géant"
"4200007","STATION LOUIS Clm",""
"62160002","Carrefour Market","Carrefour Market"
"83600001","GEANT CASINO","Géant"
"43200006","STATION J.V.F","Indépendant sans enseigne"
"85130005","SUPERMARCHE UTILE","Système U"
"45400006","RELAIS DES AUBRAIS","Total"
"76360003","RENAULT RETAIL GROUP ROUEN BARENTIN","Elan"
"84150001","INTERMARCHE JONQUIERES","Intermarché"
"1400003","GARAGE CENTRAL TASPINAR","Elan"
"5350001","LE RELAIS DE CHARPENEL","Elan"
"11300004","LIMOUX DISTRIB SODILIM","Leclerc"
"1430003","AGIP CEIGNES A40 SENS ANNECY BOURG EN BRESSE","Agip"
"63230001","RELAIS TOTAL LA GOUTELLE","Total"
"59550001","Carrefour Market","Carrefour Market"
"72000015","INTERMARCHE BEAUREGARD LE MANS","Intermarché"
"46300004","INTERMARCHE GOURDON","Intermarché"
"67700001","SUPERMARCHES MATCH   SAVERNE","Supermarché Match"
"26240004","ESSO  DIANE DE POITIERS  RN7","Esso"
"8400002","ESSO CHANZY","Esso Express"
"8210001","MOUZON FEDRICQ STATION ESSO","Esso"
"5600004","INTERMARCHE","Intermarché"
"17700002","MME PETIT","Total"
"31084001","SARL RELAIS DE THIBAUD","Total"
"25057001","GEANT CASINO","Géant"
"94420005","BP LE PLESSIS TREVISE","BP"
"60190002","INTERMARCHE MOYVILLERS","Intermarché"
"1460003","INTERMARCHE PORT","Intermarché"
"68190001","INTERMARCHE ENSISHEIM","Intermarché"
"6600009","ESSO DUGOMMIER","Esso Express"
"64170013","AGIP LACQ NORD AUTOROUTE A 64","Agip"
"2110004","carrefour market","Carrefour Market"
"13100013","RELAIS DES MILLES","Total Access"
"34190001","SUPER U","Système U"
"74370003","CARREFOUR CONTACT","Carrefour Contact"
"6110004","ESSO MOULIERES","Esso Express"
"91130007","RELAIS DE RIS","Total Access"
"83500007","INTERMARCHE LA SEYNE SUR MER","Intermarché"
"90150001","SARL RELAIS DES 3 SAPINS","Total"
"69390002","MR TAFANI","Total"
"33840003","AGIP / SIG&#039,REST CAPTIEUX","Agip"
"54450002","ETS MASSON  SA","Total"
"24460003","station total contact agonac","Total"
"74000020","ENI ANNECY ALLUEGES","Agip"
"34170001","SUPER U","Système U"
"87400005","SAS DELAVIGE","Intermarché Contact"
"78140010","BP VELIZY VILLACOUBLAY BREGUET","BP"
"11000005","ESSO DE LA CITE","Esso Express"
